B1,B2,B3,B4,B5,B6,I,T,VT,TIME,PB1,PB2,PB3,PB4,PB5,PB6,PVT
3.89,3.94,3.97,3.88,3.86,4.08,-3372.0,17.8,23.94,2024-01-01 00:00:00,-13.11708,-13.285680000000001,-13.38684,-13.083359999999999,-13.01592,-13.757760000000001,-80.72568000000001
3.89,3.94,3.97,3.89,3.87,4.05,-3324.0,17.8,23.84,2024-01-01 00:00:02,-12.93036,-13.09656,-13.19628,-12.93036,-12.863880000000002,-13.4622,-79.24416000000001
3.91,3.93,3.97,3.88,3.87,4.05,-3332.0,17.8,23.92,2024-01-01 00:00:03,-13.028120000000001,-13.09476,-13.22804,-12.92816,-12.89484,-13.494599999999998,-79.70144
3.89,3.94,3.97,3.9,3.87,4.07,-3368.0,17.8,24.02,2024-01-01 00:00:05,-13.10152,-13.26992,-13.37096,-13.1352,-13.03416,-13.70776,-80.89936
3.91,3.95,3.97,3.89,3.87,4.08,-3372.0,17.8,23.97,2024-01-01 00:00:06,-13.184520000000001,-13.319400000000002,-13.38684,-13.11708,-13.049640000000002,-13.757760000000001,-80.82683999999999
3.89,3.95,3.97,3.87,3.87,4.06,-3372.0,17.8,23.88,2024-01-01 00:00:08,-13.11708,-13.319400000000002,-13.38684,-13.049640000000002,-13.049640000000002,-13.690319999999998,-80.52336
3.89,3.95,3.98,3.89,3.88,4.09,-3452.0,17.8,24.01,2024-01-01 00:00:09,-13.42828,-13.6354,-13.738959999999999,-13.42828,-13.39376,-14.11868,-82.88252
3.91,3.95,3.97,3.89,3.87,4.07,-3244.0,17.8,23.96,2024-01-01 00:00:11,-12.684040000000001,-12.8138,-12.878680000000001,-12.619159999999999,-12.55428,-13.203080000000002,-77.72624
3.89,3.91,3.96,3.87,3.86,4.05,-2920.0,17.8,23.87,2024-01-01 00:00:12,-11.3588,-11.417200000000001,-11.5632,-11.3004,-11.271199999999999,-11.826,-69.7004
3.89,3.92,3.96,3.88,3.87,4.06,-3104.0,17.8,23.97,2024-01-01 00:00:14,-12.07456,-12.16768,-12.29184,-12.043520000000001,-12.01248,-12.602239999999998,-74.40288
